usecs   ticks  time part mamType noteType channel pitch velocity    other
500000       0 0.000    0       2       f0       f    51       e6 00000000
    0   76560 0.000    1       0       90       0    43       64 00000000
    0   76560 0.000    1       0       90       0    3f       64 00000000
    0   77040 0.000    1       0       80       0    43        0 00000000
    0   77040 0.000    1       0       80       0    3f        0 00000000
    0   77040 0.000    1       0       90       0    44       64 00000000
    0   77040 0.000    1       0       90       0    41       64 00000000
    0   77400 0.000    1       0       80       0    44        0 00000000
    0   77400 0.000    1       0       80       0    41        0 00000000
    0   77520 0.000    1       0       90       0    41       64 00000000
    0   77640 0.000    1       0       80       0    41        0 00000000
    0   77640 0.000    1       0       90       0    42       64 00000000
    0   77760 0.000    1       0       80       0    42        0 00000000
    0   77760 0.000    1       0       90       0    43       64 00000000
    0   78000 0.000    1       0       80       0    43        0 00000000
    0   78000 0.000    1       0       90       0    4b       64 00000000
    0   78240 0.000    1       0       80       0    4b        0 00000000
    0   78240 0.000    1       0       90       0    4f       64 00000000
    0   78480 0.000    1       0       80       0    4f        0 00000000
    0   78480 0.000    1       0       90       0    50       64 00000000
    0   78720 0.000    1       0       80       0    50        0 00000000
    0   78720 0.000    1       0       90       0    4b       64 00000000
    0   78720 0.000    1       0       90       0    43       64 00000000
    0   79440 0.000    1       0       80       0    4b        0 00000000
    0   79440 0.000    1       0       80       0    43        0 00000000
    0   79440 0.000    1       0       90       0    4d       64 00000000
    0   79440 0.000    1       0       90       0    44       64 00000000
    0   80400 0.000    1       0       80       0    4d        0 00000000
    0   80400 0.000    1       0       80       0    44        0 00000000
    0   80640 0.000    1       0       90       0    4f       64 00000000
    0   80880 0.000    1       0       80       0    4f        0 00000000
    0   80880 0.000    1       0       90       0    46       64 00000000
    0   81000 0.000    1       0       80       0    46        0 00000000
    0   81120 0.000    1       0       90       0    50       64 00000000
    0   81360 0.000    1       0       80       0    50        0 00000000
    0   81360 0.000    1       0       90       0    48       64 00000000
    0   81480 0.000    1       0       80       0    48        0 00000000
    0   81600 0.000    1       0       90       0    52       64 00000000
    0   81840 0.000    1       0       80       0    52        0 00000000
    0   81840 0.000    1       0       90       0    49       64 00000000
    0   81960 0.000    1       0       80       0    49        0 00000000
    0   82080 0.000    1       0       90       0    48       64 00000000
    0   82320 0.000    1       0       80       0    48        0 00000000
    0   82320 0.000    1       0       90       0    50       64 00000000
    0   82500 0.000    1       0       80       0    50        0 00000000
    0   82500 0.000    1       0       90       0    4d       64 00000000
    0   82500 0.000    1       0       90       0    44       64 00000000
    0   82560 0.000    1       0       80       0    4d        0 00000000
    0   82560 0.000    1       0       80       0    44        0 00000000
    0   82560 0.000    1       0       90       0    4f       64 00000000
    0   82560 0.000    1       0       90       0    46       64 00000000
    0   83280 0.000    1       0       80       0    4f        0 00000000
    0   83280 0.000    1       0       80       0    46        0 00000000
    0   83280 0.000    1       0       90       0    4d       64 00000000
    0   83280 0.000    1       0       90       0    44       64 00000000
    0   83640 0.000    1       0       80       0    4d        0 00000000
    0   83640 0.000    1       0       80       0    44        0 00000000
    0   83760 0.000    1       0       90       0    48       64 00000000
    0   84000 0.000    1       0       80       0    48        0 00000000
    0   84000 0.000    1       0       90       0    4b       64 00000000
    0   84240 0.000    1       0       80       0    4b        0 00000000
    0   84240 0.000    1       0       90       0    44       64 00000000
    0   84240 0.000    1       0       90       0    41       64 00000000
    0   85200 0.000    1       0       80       0    44        0 00000000
    0   85200 0.000    1       0       80       0    41        0 00000000
    0   85440 0.000    1       0       90       0    3f       64 00000000
    0   85680 0.000    1       0       80       0    3f        0 00000000
    0   85680 0.000    1       0       90       0    43       64 00000000
    0   85920 0.000    1       0       80       0    43        0 00000000
    0   85920 0.000    1       0       90       0    46       64 00000000
    0   86160 0.000    1       0       80       0    46        0 00000000
    0   86160 0.000    1       0       90       0    49       64 00000000
    0   86400 0.000    1       0       80       0    49        0 00000000
    0   86400 0.000    1       0       90       0    46       64 00000000
    0   86400 0.000    1       0       90       0    43       64 00000000
